r,departure dates,mean departure,standard deviation departure,payoffs,mean payoff,standard deviation payoff,survival rates,mean survival rate
2.300000000000001,"[62, 34, 15, 7]",29.5,21.17191535974013,"[11.6, 8.65482962206467, 8.094430203618149, 7.970670892271954]",9.079982679488694,1.477593376225893,"[1.0, 0.8013731131541361, 0.6527766293240441, 0.5948261859904443]",0.7622439821171562
2.4000000000000012,"[62, 35, 20, 10]",31.75,19.60070151805797,"[11.6, 8.494338052642629, 8.086667130210122, 7.992136595840553]",9.043285444673327,1.4881334834790072,"[1.0, 0.8013526464757198, 0.6853107737466206, 0.614779738141581]",0.7753607895909804
2.5000000000000013,"[63, 41, 17, 10]",32.75,20.90902915010642,"[11.399999999999999, 8.827198475966586, 8.167468550644704, 8.013068148721894]",9.101933793833295,1.3615654103494375,"[1.0, 0.8487690842275564, 0.6694646352987463, 0.6163898575939918]",0.7836558942800737
2.6000000000000014,"[62, 41, 21, 10]",33.5,19.85572965166478,"[11.6, 8.826319005095032, 8.270973475214653, 8.033829771552995]",9.18278056296567,1.4249118161641554,"[1.0, 0.8486845197206762, 0.7009299555266656, 0.6179869055040765]",0.7919003451878546
2.7000000000000015,"[64, 49, 18, 9]",35.0,22.371857321197094,"[11.2, 9.193699035102838, 8.370956599026739, 8.121486855245749]",9.221535622343831,1.2092030571976635,"[1.0, 0.901343042657141, 0.6861439835267819, 0.6152641557004355]",0.8006877954710896
2.8000000000000016,"[63, 48, 18, 12]",35.25,21.040140208658308,"[11.399999999999999, 9.373714745128062, 8.360791439708771, 8.143593378234796]",9.319524890767907,1.2877594857734527,"[1.0, 0.9013187254930829, 0.6853107737466206, 0.6362182326745933]",0.8057119329785741
2.9000000000000017,"[61, 47, 18, 14]",35.0,19.685019685029527,"[11.799999999999999, 9.55466557347736, 8.361761841377376, 8.224405493612887]",9.485208227116905,1.4330771602754953,"[1.0, 0.9013835446676755, 0.6853903148669981, 0.6527305947311813]",0.8098761135664637
3.0000000000000018,"[65, 54, 26, 16]",40.25,19.954636052807377,"[11.0, 9.261317681734841, 8.469089472596877, 8.296050265661384]",9.256614354998275,1.0703147245793427,"[1.0, 0.9261317681734842, 0.7429025853155157, 0.6690363117468857]",0.8345176663089714
3.100000000000002,"[65, 57, 25, 13]",40.0,21.61018278497431,"[11.0, 9.669447830446192, 8.63708648842165, 8.349641521152751]",9.414043960005149,1.0388819906896032,"[1.0, 0.9479850814162933, 0.7445764214156595, 0.6523157438400586]",0.8362193116680029
3.200000000000002,"[67, 60, 30, 15]",43.0,21.319005605327842,"[10.6, 9.579010264856011, 8.730550402985372, 8.42985752801076]",9.334854548963037,0.8432686604310959,"[1.0, 0.957901026485601, 0.7795134288379797, 0.6690363117468857]",0.8516126917676167
3.300000000000002,"[70, 68, 28, 17]",45.75,23.583627795570383,"[10.0, 9.924741565627716, 8.75792167105051, 8.499332875038268]",9.295499027929123,0.6736352404186918,"[1.0, 0.9924741565627717, 0.7682387430746063, 0.6854300705676022]",0.861535742551245
3.400000000000002,"[69, 66, 33, 19]",46.75,21.358546298847212,"[10.2, 9.845403579129815, 8.815329331983445, 8.557633572787777]",9.35459162097526,0.6858494099458422,"[1.0, 0.9845403579129814, 0.8013935756348587, 0.7014453748186703]",0.8718448270916276
3.500000000000002,"[67, 67, 28, 16]",44.5,22.89650628371062,"[10.6, 10.6, 9.042355774520564, 8.63491574920742]",9.719317880931996,0.8923855201786424,"[1.0, 1.0, 0.7795134288379797, 0.6853107737466206]",0.8662060506461502
3.6000000000000023,"[67, 65, 35, 20]",46.75,19.97967717456916,"[10.6, 10.280917193717894, 9.035608368438808, 8.729167005015265]",9.66142314179299,0.7945824428969204,"[1.0, 0.9885497301651821, 0.8214189425853462, 0.715505492214366]",0.8813685412412235
3.7000000000000024,"[67, 65, 37, 24]",48.25,18.34904629674251,"[10.6, 10.280947486384935, 8.978141561625039, 8.774598026907087]",9.658421768729264,0.7934156227243002,"[1.0, 0.9885526429216284, 0.8313094038541702, 0.7436100022802616]",0.890868012264015
3.8000000000000025,"[67, 67, 38, 19]",47.75,20.38841582860228,"[10.6, 10.6, 9.337079490216434, 8.874815784924053]",9.852973818785122,0.7646954178457683,"[1.0, 1.0, 0.848825408201494, 0.715710950397101]",0.8911340896496488
3.9000000000000026,"[65, 65, 35, 23]",47.0,18.49324200890693,"[11.0, 11.0, 9.306088073428562, 8.932814958512846]",10.059725757985351,0.9494905225888676,"[1.0, 1.0, 0.8309007208418359, 0.7444012465427372]",0.8938254918461432
4.000000000000003,"[65, 65, 39, 24]",48.25,17.5695048308141,"[11.0, 11.0, 9.427134211921121, 9.067980605642946]",10.123778704391016,0.8853743123625806,"[1.0, 1.0, 0.8570122010837382, 0.7556650504702455]",0.9031693128884959
4.100000000000003,"[67, 67, 47, 24]",51.25,17.725334975678173,"[10.6, 10.6, 9.55432214461078, 9.091515959013641]",9.961459525906104,0.6591719295710546,"[1.0, 1.0, 0.901351145717998, 0.7576263299178034]",0.9147443689089504
4.200000000000003,"[64, 64, 43, 23]",48.5,17.03672503740082,"[11.2, 11.2, 9.76541794047482, 9.22513147737731]",10.347637354463032,0.8735048725007661,"[1.0, 1.0, 0.8877652673158927, 0.7561583178178124]",0.9109808962834263
4.3000000000000025,"[66, 66, 49, 28]",52.25,15.626499928006911,"[10.8, 10.8, 9.691575488417605, 9.333004290871024]",10.156144944822158,0.6562171858781298,"[1.0, 1.0, 0.9142995743790194, 0.7909325670229682]",0.926308035350497
4.400000000000003,"[65, 65, 46, 31]",51.75,14.271912976192084,"[11.0, 11.0, 9.735291961520723, 9.417134753021807]",10.288106678635632,0.7207253999743372,"[1.0, 1.0, 0.9014159223630298, 0.8118219614673972]",0.9283094709576067
4.5000000000000036,"[66, 66, 52, 32]",54.0,13.92838827718412,"[10.8, 10.8, 9.877561164172562, 9.528459733990015]",10.251505224540644,0.5622103652331989,"[1.0, 1.0, 0.9318453928464682, 0.8214189425853462]",0.9383160838579536
4.600000000000003,"[65, 65, 54, 28]",53.0,15.116216457830975,"[11.0, 11.0, 10.238198302671059, 9.622112289477545]",10.465077648037152,0.5775700559984484,"[1.0, 1.0, 0.9479813243213943, 0.8018426907897955]",0.9374560037777975
4.700000000000003,"[64, 64, 52, 29]",52.25,14.289419162443238,"[11.2, 11.2, 10.370820390717286, 9.741180432485018]",10.628000205800575,0.6137911486731658,"[1.0, 1.0, 0.9428018537015714, 0.8117650360404182]",0.9386417224354974
