Rmin,departure dates,mean departure,standard deviation departure,payoffs,mean payoff,standard deviation payoff,survival rates,mean survival rate
11,"[119, 119, 119, 113, 113, 113, 113, 99, 99]",111.88888888888889,7.370277311900889,"[209.05183589842068, 209.05183589842068, 209.05183589842068, 207.8589037010022, 207.8589037010022, 207.8589037010022, 207.8589037010022, 207.54073446938193, 207.54073446938193]",208.18584349311496,0.62447474406826,"[0.9714304642119921, 0.9714304642119921, 0.9714304642119921, 0.9614195360823413, 0.9614195360823413, 0.9614195360823413, 0.9614195360823413, 0.9485408339551276, 0.9485408339551276]",0.9618945783195108
12,"[119, 118, 118, 112, 112, 112, 112, 98, 98]",111.0,7.483314773547883,"[209.41193550784737, 209.2772176982107, 209.2772176982107, 208.09862920899363, 208.09862920899363, 208.09862920899363, 208.09862920899363, 207.80358899718487, 207.80358899718487]",208.44089619273478,0.634445720309714,"[0.9731037895346069, 0.9715748268254907, 0.9715748268254907, 0.9616387671395269, 0.9616387671395269, 0.9616387671395269, 0.9616387671395269, 0.9488748356035839, 0.9488748356035839]",0.9622842425500959
13,"[119, 118, 118, 118, 110, 110, 110, 96, 96]",110.55555555555556,8.577892918052791,"[209.40500866221095, 209.2694732681338, 209.2694732681338, 209.2694732681338, 208.47145309857788, 208.47145309857788, 208.47145309857788, 208.1649082462719, 208.1649082462719]",208.7730671394322,0.4889029430641153,"[0.9730716015901997, 0.9715388731111132, 0.9715388731111132, 0.9715388731111132, 0.961584193259123, 0.961584193259123, 0.961584193259123, 0.9487917422346029, 0.9487917422346029]",0.9633360316855681
14,"[119, 118, 118, 118, 118, 108, 108, 94, 94]",110.55555555555556,9.742360096347989,"[209.39806521835928, 209.2617092234183, 209.2617092234183, 209.2617092234183, 209.2617092234183, 208.84419955914134, 208.84419955914134, 208.5261015693831, 208.5261015693831]",209.0206115965646,0.32081601635787865,"[0.9730393365165395, 0.9715028283352753, 0.9715028283352753, 0.9715028283352753, 0.9715028283352753, 0.9615294639002825, 0.9615294639002825, 0.9487083783866382, 0.9487083783866382]",0.9643918149368312
15,"[119, 118, 118, 118, 118, 118, 106, 92, 92]",111.0,10.83205120618128,"[209.3911051165649, 209.2539254894568, 209.2539254894568, 209.2539254894568, 209.2539254894568, 209.2539254894568, 209.21686825934339, 208.88716835072933, 208.88716835072933]",209.18354861385012,0.1648692897860061,"[0.9730069940360823, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101, 0.9714666921516101, 0.9614745783977178, 0.9486247427371904, 0.9486247427371904]",0.9654516131851368
16,"[119, 116, 116, 116, 116, 116, 104, 90, 90]",109.22222222222223,11.012899282990103,"[211.18692423723067, 209.6346941769479, 209.6346941769479, 209.6346941769479, 209.6346941769479, 209.6346941769479, 209.5894588659504, 209.24810797050114, 209.24810797050114]",209.7162299921026,0.5426815498634641,"[0.9804406881951284, 0.9714304642119921, 0.9714304642119921, 0.9714304642119921, 0.9714304642119921, 0.9714304642119921, 0.9614195360823413, 0.9485408339551276, 0.9485408339551276]",0.966232690360854
17,"[119, 119, 115, 115, 115, 115, 103, 89, 89]",108.77777777777777,11.448219442125563,"[210.99047854048922, 210.99047854048922, 209.860162594306, 209.860162594306, 209.860162594306, 209.860162594306, 209.82957898984475, 209.51156370127134, 209.51156370127134]",210.03047931673223,0.5310509429697889,"[0.9795286840319833, 0.9795286840319833, 0.9715748268254907, 0.9715748268254907, 0.9715748268254907, 0.9715748268254907, 0.9616387671395269, 0.9488748356035839, 0.9488748356035839]",0.9671939015236249
18,"[119, 119, 119, 113, 113, 113, 101, 87, 87]",107.88888888888889,12.332832822676984,"[210.98545807055763, 210.98545807055763, 210.98545807055763, 210.2410121412448, 210.2410121412448, 210.2410121412448, 210.20230464644428, 209.87273338229417, 209.87273338229417]",210.4030202273822,0.43450308833940426,"[0.9795053763721338, 0.9795053763721338, 0.9795053763721338, 0.9715388731111126, 0.9715388731111126, 0.9715388731111126, 0.961584193259123, 0.9487917422346029, 0.9487917422346029]",0.968033380686452
19,"[119, 119, 119, 119, 111, 111, 99, 85, 85]",107.44444444444444,13.491652654809368,"[210.98042615585024, 210.98042615585024, 210.98042615585024, 210.98042615585024, 210.6218131830877, 210.6218131830877, 210.57495259416186, 210.23377665047903, 210.23377665047903]",210.68975965385513,0.2936746436674775,"[0.9794820155796203, 0.9794820155796203, 0.9794820155796203, 0.9794820155796203, 0.9715028283352753, 0.9715028283352753, 0.9615294639002825, 0.9487083783866382, 0.9487083783866382]",0.9688755488513989
20,"[119, 117, 117, 117, 109, 109, 97, 83, 83]",105.66666666666667,13.695092389449425,"[212.58074956442465, 211.36716619777806, 211.36716619777806, 211.36716619777806, 211.0025655353297, 211.0025655353297, 210.94752250045929, 210.59469288765627, 210.59469288765627]",211.2026986115767,0.5641844117464372,"[0.9859960554936208, 0.9794586014725581, 0.9794586014725581, 0.9794586014725581, 0.9714666921516101, 0.9714666921516101, 0.9614745783977178, 0.9486247427371904, 0.9486247427371904]",0.9695588120096238
