player 1,Tmax,departure time,payoff,player 2,Tmax,departure time,payoff,player 3,Tmax,departure time,payoff,player 4,Tmax,departure time,payoff
1,106,56,11.320754716981131,2,106,27,7.953747575249224,3,106,10,7.462539898620644,4,106,0,7.233888982980657
1,107,56,11.439252336448599,2,107,27,8.054511563222267,3,107,10,7.534965699218328,4,107,0,7.289839139471645
1,108,56,11.555555555555555,2,108,27,8.153409551418031,3,108,10,7.606050281286425,4,108,0,7.344753181953542
1,109,56,11.669724770642203,2,109,27,8.250492897628554,3,109,10,7.675830559096393,4,109,0,7.398659627325677
1,110,56,11.781818181818181,2,110,27,8.345811092089793,3,110,10,7.744342104582541,4,110,0,7.451585955509229
1,111,60,11.027027027027028,2,111,35,8.443248145054,3,111,10,7.811619207807679,4,111,0,7.503558656157942
1,112,58,11.571428571428571,2,112,30,8.302019685394647,3,112,15,7.885070817016866,4,112,0,7.554603272866499
1,113,58,11.681415929203538,2,113,30,8.396480086366267,3,113,15,7.957387637060305,4,113,0,7.6047444450315425
1,114,60,11.368421052631579,2,114,32,8.161810654776854,3,114,17,7.758617953202413,4,114,7,7.654459885065257
1,115,60,11.478260869565219,2,115,32,8.255957538993446,3,115,17,7.830990832133471,4,115,7,7.712291157183355
1,116,60,11.586206896551724,2,116,32,8.348481201068372,3,116,17,7.902115902807097,4,116,7,7.769125338402866
1,117,60,11.692307692307692,2,117,32,8.439423262082189,3,117,17,7.972025160306815,4,117,7,7.824987995157086
1,118,60,11.796610169491526,2,118,32,8.528823932231365,3,118,17,8.040749515137046,4,118,7,7.879903827220555
1,119,61,11.697478991596638,2,119,35,8.67519022170753,3,119,15,8.020012453827182,4,119,10,7.935308216684609
1,120,62,11.6,2,120,35,8.494338052642629,3,120,20,8.086667130210122,4,120,10,7.992136595840553
1,121,62,11.702479338842975,2,121,35,8.583082891177957,3,121,20,8.155764580125071,4,121,10,8.048025662944333
1,122,62,11.803278688524589,2,122,35,8.670372896294674,3,122,20,8.223729284959447,4,122,10,8.102998515833299
1,123,62,11.902439024390244,2,123,35,8.756243551734693,3,123,20,8.290588872642045,4,123,10,8.157077501195612
1,124,65,11.419354838709678,2,124,40,8.844548717493938,3,124,20,8.356370079878149,4,124,10,8.210284244858533
1,125,65,11.52,2,125,40,8.933315824622241,3,125,20,8.421098787798474,4,125,10,8.26263968062285
1,126,65,11.619047619047619,2,126,40,9.020673930050094,3,126,20,8.484800055910542,4,126,10,8.31416407772424
1,127,65,11.716535433070867,2,127,40,9.106656317282233,3,127,20,8.547498154446039,4,127,10,8.364877066997261
1,128,65,11.8125,2,128,40,9.191295229713871,3,128,20,8.609216595191922,4,128,10,8.414797665812891
