k,departure dates,mean departure,standard deviation departure,payoffs,mean payoff,standard deviation payoff,survival rates,mean survival rate
4.5,"[106, 95, 75, 70]",86.5,14.637281168304447,"[2.8, 1.4250982999029662, 1.1176524958547913, 1.0871687102402032]",1.60747987649949,0.701074506917569,"[1.0, 0.5937909582929025, 0.27941312396369783, 0.23634102396526155]",0.5273862765554655
4.6000000000000005,"[106, 95, 75, 70]",86.5,14.637281168304447,"[2.8, 1.4090166320616198, 1.087217240279628, 1.0537771122292576]",1.587502746142626,0.7136447861513866,"[1.0, 0.5870902633590082, 0.271804310069907, 0.2290819809194038]",0.5219941385870798
4.7,"[106, 95, 75, 70]",86.5,14.637281168304447,"[2.8, 1.3931302294361922, 1.0576429915893566, 1.0214478865638739]",1.5680552768973557,0.7258765241365529,"[1.0, 0.5804709289317467, 0.26441074789733915, 0.22205388838345083]",0.5167338913031342
4.800000000000001,"[107, 95, 80, 70]",88.0,14.124446891825535,"[2.6, 1.1968173118011254, 1.0291172914496776, 0.9901460659625595]",1.4540201673033404,0.6661727857000367,"[1.0, 0.5440078690005116, 0.30268155630872867, 0.21524914477446944]",0.5154846425209274
4.9,"[107, 95, 80, 70]",88.0,14.124446891825535,"[2.6, 1.1820614950796637, 1.0044625476947924, 0.9598378724026677]",1.436590478794281,0.6768187191043916,"[1.0, 0.5373006795816654, 0.29543016108670367, 0.20866040704405817]",0.5103478119281067
5.0,"[107, 95, 80, 70]",88.0,14.124446891825535,"[2.6, 1.1675004291376605, 0.9804235002088142, 0.9304906753721894]",1.419603651179666,0.6872048972072233,"[1.0, 0.5306820132443912, 0.2883598530025924, 0.20228058160264986]",0.5053306119624084
5.1000000000000005,"[107, 95, 80, 70]",88.0,14.124446891825535,"[2.6, 1.1531313746627578, 0.9569841494038797, 0.902072951632614]",1.4030471189248128,0.6973344548737344,"[1.0, 0.5241506248467082, 0.28146592629525874, 0.19610281557230738]",0.5004298416785686
5.2,"[107, 95, 80, 70]",88.0,14.124446891825535,"[2.6, 1.1389516332451914, 0.9341289276410145, 0.8745542464365753]",1.3869087018306951,0.7072110394770907,"[1.0, 0.5177052878387235, 0.2747438022473572, 0.19012048835577722]",0.49564239461046444
5.300000000000001,"[107, 95, 80, 70]",88.0,14.124446891825535,"[2.6, 1.124958546731693, 0.9118426871326679, 0.8479051361460989]",1.371176592502615,0.7168387103345866,"[1.0, 0.5113447939689514, 0.2681890256272553, 0.18432720351002146]",0.490965255776557
5.4,"[107, 95, 80, 70]",88.0,14.124446891825535,"[2.6, 1.1111494965901405, 0.8901106881962022, 0.8220971921992823]",1.3558393442464063,0.7262218539829072,"[1.0, 0.5050679529955184, 0.2617972612341771, 0.17871678091288745]",0.4863954987856457
5.5,"[107, 95, 80, 70]",88.0,14.124446891825535,"[2.6, 1.0975219032848043, 0.868918587847895, 0.7971029463754263]",1.3408858593770314,0.7353651127346104,"[1.0, 0.49887359240218376, 0.25556429054349855, 0.17328324921204918]",0.48193028303943286
5.6000000000000005,"[107, 95, 80, 70]",88.0,14.124446891825535,"[2.6, 1.0840732256619563, 0.8482524287271552, 0.7728958573102789]",1.3263053779248477,0.7442733243971156,"[1.0, 0.49276055711907113, 0.2494860084491633, 0.1680208385457128]",0.4775668510284868
5.7,"[107, 95, 80, 70]",88.0,14.124446891825535,"[2.6, 1.0708009603457185, 0.8280986283410974, 0.7494502782151582]",1.3120874667254934,0.7529514713947384,"[1.0, 0.4867277092480539, 0.24355842010032278, 0.16292397352503438]",0.47330252571835274
5.800000000000001,"[107, 95, 80, 70]",88.0,14.124446891825535,"[2.6, 1.0577026411439223, 0.8084439686199051, 0.72674142575533]",1.2982220088797893,0.7614046378290124,"[1.0, 0.480773927792692, 0.23777763782938385, 0.15798726646854996]",0.4691347080226565
5.9,"[107, 95, 80, 70]",88.0,14.124446891825535,"[2.6, 1.044775838463814, 0.7892755857736421, 0.7047453500447153]",1.2846991935705427,0.7696379732547192,"[1.0, 0.4748981083926428, 0.23213987816871826, 0.1532055108792859]",0.46506087436016175
6.0,"[107, 95, 80, 70]",88.0,14.124446891825535,"[2.6, 1.0320181587374682, 0.7705809604415672, 0.6834389057157617]",1.2715095062236992,0.7776566621485246,"[1.0, 0.4690991630624856, 0.22664145895340213, 0.14857367515560035]",0.461078574292872
6.1000000000000005,"[107, 95, 80, 70]",88.0,14.124446891825535,"[2.6, 1.019427243856694, 0.7523479081251725, 0.6627997240247203]",1.2586437190016468,0.7854658982119529,"[1.0, 0.463376019934861, 0.22127879650740367, 0.1440868965271131]",0.4571854282423445
6.2,"[107, 95, 80, 70]",88.0,14.124446891825535,"[2.6, 1.0070007706172985, 0.7345645698965242, 0.6428061859541976]",1.2460928816170052,0.7930708627868313,"[1.0, 0.457727623007863, 0.2160484029107424, 0.13974047520743424]",0.4533791252815099
6.300000000000001,"[110, 100, 80, 70]",90.0,15.811388300841896,"[2.0, 0.9961023600482033, 0.7172194033737211, 0.6234373962762506]",1.0841897899245438,0.5462205985310702,"[1.0, 0.5533902000267796, 0.2109468833452121, 0.13552986875570663]",0.47496673803192463
6.4,"[108, 95, 85, 70]",89.5,13.901438774457844,"[2.4000000000000004, 0.8300864145851954, 0.7021582257417385, 0.6046731585406587]",1.134229449716898,0.7351519366591572,"[1.0, 0.4150432072925977, 0.25077079490776377, 0.13145068663927362]",0.4493161722099087
6.5,"[108, 95, 85, 70]",89.5,13.901438774457844,"[2.4000000000000004, 0.8190871975952376, 0.687631336600851, 0.5864939509544319]",1.12330312128763,0.74170011420855,"[1.0, 0.4095435987976188, 0.24558262021458965, 0.12749868499009387]",0.4456562260005756
6.6000000000000005,"[109, 97, 82, 77]",91.25,12.616952880945542,"[2.1999999999999997, 0.7857198463092496, 0.5912054107435183, 0.5692260159749131]",1.0365378182569203,0.6769887696875129,"[1.0, 0.43651102572736095, 0.1970684702478394, 0.1581183377708092]",0.4479244584365024
6.7,"[109, 97, 82, 77]",91.25,12.616952880945542,"[2.1999999999999997, 0.7762002070566912, 0.5773308249112977, 0.5541040143677871]",1.026908761583944,0.6827632245322363,"[1.0, 0.4312223372537174, 0.19244360830376592, 0.15391778176882975]",0.4443959318315783
6.800000000000001,"[109, 97, 82, 77]",91.25,12.616952880945542,"[2.1999999999999997, 0.7668040375198121, 0.5637956621224182, 0.5393993670944975]",1.0174997666841818,0.6884007838819669,"[1.0, 0.4260022430665623, 0.18793188737413938, 0.14983315752624932]",0.44094182199173776
6.9,"[109, 97, 82, 77]",91.25,12.616952880945542,"[2.1999999999999997, 0.7575296310134162, 0.5505912816933186, 0.5251001252185312]",1.0083052594813164,0.69390454272432,"[1.0, 0.42084979500745345, 0.1835304272311062, 0.14586114589403645]",0.43756034203314903
7.0,"[109, 97, 82, 77]",91.25,12.616952880945542,"[2.1999999999999997, 0.748375305896102, 0.5377092714715821, 0.5111946941975818]",0.9993198178913164,0.699277570202993,"[1.0, 0.41576405883116785, 0.17923642382386068, 0.14199852616599495]",0.43424975220525586
7.1000000000000005,"[109, 97, 82, 77]",91.25,12.616952880945542,"[2.1999999999999997, 0.7393394051814735, 0.5251414415655893, 0.4976718230086831]",0.9905381674389364,0.7045229039050681,"[1.0, 0.4107441139897075, 0.17504714718852976, 0.13824217305796754]",0.4310083585590512
7.2,"[109, 95, 85, 80]",92.25,11.07643895843786,"[2.1999999999999997, 0.6167786583696585, 0.49550582261518084, 0.48467135036438097]",0.949238957837305,0.7239871986481603,"[1.0, 0.34265481020536587, 0.19057916254430032, 0.15145979698886905]",0.42117344243463384
